player_id,game_id,date,season,player_name,opponent_id,min,pts,reb,ast,fga,fgm,trend_pts,trend_reb,trend_ast,min_l10,fga_per_min_l10,proj_volume,pts_std_l10,pts_mean_l10,cv_l10,opp_avg_pts_allowed_l10,opp_avg_reb_allowed_l10,opp_avg_ast_allowed_l10
203944,0022400062,2024-10-22,2024-25,Julius Randle,5,34.31666666666667,16,9,4,10,5,-1.1301292995637975,-0.5143825248577808,-0.2841979633558896,9.408333333333335,0.45795454545454534,4.308589015151515,8.872554436137444,5.5,1.6131917156613533,114.5,44.5,28.7
203952,0022400072,2024-10-23,2024-25,Andrew Wiggins,7,23.066666666666666,20,4,2,15,8,-0.03510862610497789,-0.11731552183768025,0.09412304905667768,27.00333333333333,0.4296177932321007,11.601112476577491,4.115013163202913,15.6,0.2637828950771098,110.4,44.8,26.4
204060,0022400062,2024-10-22,2024-25,Joe Ingles,5,6.8,0,0,1,1,0,-0.1400867639856715,-0.10704601232317362,-0.18515738812057353,10.9,0.1569581807081807,1.7108441697191699,1.852925614624958,1.9,0.9752240076973463,114.5,44.5,28.7
1626156,0022400062,2024-10-22,2024-25,D'Angelo Russell,6,34.21666666666667,9,1,5,12,4,0.04321387050441951,0.039926531532821205,-0.1739501876983447,36.30166666666666,0.3559546420692198,12.921746764849459,7.454305243727701,14.3,0.5212800869739651,106.1,40.3,22.7
1626157,0022400061,2024-10-22,2024-25,Karl-Anthony Towns,3,23.616666666666667,12,7,3,9,5,0.9985800595862289,0.052370293128664785,-0.16488395425897,33.6,0.4625603123370685,15.542026494525503,6.08184913401252,18.1,0.33601376431008395,104.5,41.5,22.6
1626166,0022400061,2024-10-22,2024-25,Cameron Payne,3,20.716666666666665,11,3,4,10,5,0.20651582026914023,0.06593735687689439,0.01656169797671006,11.8,0.36819675225472326,4.344721676605735,3.6651512019742807,4.9,0.747990041219241,104.5,41.5,22.6
1626172,0022400072,2024-10-23,2024-25,Kevon Looney,7,14.083333333333334,2,6,2,2,0,0.025320167911585173,0.00860248591100439,0.09053868049339443,10.803333333333333,0.2797664302346838,3.022410001302034,3.2317865716108853,4.0,0.8079466429027213,110.4,44.8,26.4
1627741,0022400072,2024-10-23,2024-25,Buddy Hield,7,14.733333333333333,22,5,1,12,8,0.21876409223488724,-0.10706141365139352,-0.17825011120275044,12.5,0.4473949579831933,5.592436974789916,8.534895690308392,7.2,1.1854021792094989,110.4,44.8,26.4
1627759,0022400061,2024-10-22,2024-25,Jaylen Brown,4,29.9,23,7,1,18,7,-0.7689202027133484,0.10264016390462587,0.14413719789509938,39.3,0.45884539295643273,18.032623943187804,8.846845012017944,23.4,0.3780702996588865,112.4,39.2,28.1
1627780,0022400072,2024-10-23,2024-25,Gary Payton II,7,14.483333333333333,8,1,3,4,3,-0.11933736389693443,-0.08561400385367282,0.09353246938678948,16.59,0.3201427409014729,5.311168071555435,3.373096170846273,8.6,0.3922204849821248,110.4,44.8,26.4
